y,u_x,u_y,nu_tilde,nu_t,nu_t_over_nu,wall_distance,du_dy
2.8856780425478359e-02,4.8523409121275600e+00,0.0000000000000000e+00,1.9694263972257968e-03,1.9579588810328340e-03,3.9159177620656678e+01,2.8856780425478359e-02,2.6205780637457792e+01
2.9289321881345243e-02,4.8635967953158552e+00,0.0000000000000000e+00,1.9849597191918000e-03,1.9736694477512822e-03,3.9473388955025641e+01,2.9289321881345243e-02,2.5844216591628538e+01
2.9724525554277473e-02,4.8747661520997934e+00,0.0000000000000000e+00,2.0003100647453705e-03,1.9891909662589930e-03,3.9783819325179856e+01,2.9724525554277473e-02,2.5489621586369140e+01
3.0162375059102711e-02,4.8858496613513358e+00,0.0000000000000000e+00,2.0154755797839826e-03,2.0045218196673787e-03,4.0090436393347574e+01,3.0162375059102711e-02,2.5141765436492278e+01
3.0602853911034601e-02,4.8968479717404243e+00,0.0000000000000000e+00,2.0304544697877956e-03,2.0196604390266097e-03,4.0393208780532191e+01,3.0602853911034601e-02,2.4800426909332600e+01
3.1045945526293306e-02,4.9077617027185818e+00,0.0000000000000000e+00,2.0452449992363671e-03,2.0346053033925347e-03,4.0692106067850695e+01,3.1045945526293306e-02,2.4465393281170691e+01
3.1491633222729964e-02,4.9185914454539468e+00,0.0000000000000000e+00,2.0598454910507060e-03,2.0493549398781946e-03,4.0987098797563888e+01,3.1491633222729964e-02,2.4136459919546724e+01
3.1939900220454696e-02,4.9293377637205245e+00,0.0000000000000000e+00,2.0742543260599024e-03,2.0639079236919552e-03,4.1278158473839099e+01,3.1939900220454696e-02,2.3813429903517317e+01
3.2390729642468398e-02,4.9400011947568698e+00,0.0000000000000000e+00,2.0884699375230218e-03,2.0782628731473318e-03,4.1565257462946633e+01,3.2390729642468398e-02,2.3496113655142835e+01
3.2844104515298171e-02,4.9505822500741097e+00,0.0000000000000000e+00,2.1024908192094922e-03,2.0924184583327641e-03,4.1848369166655282e+01,3.2844104515298171e-02,2.3184328537583497e+01
3.3300007769636257e-02,4.9610814161887404e+00,0.0000000000000000e+00,2.1163155311837503e-03,2.1063734074233151e-03,4.2127468148466299e+01,3.3300007769636257e-02,2.2877898520267991e+01
3.3758422240982820e-02,4.9714991553515731e+00,0.0000000000000000e+00,2.1299426807302002e-03,2.1201264878700624e-03,4.2402529757401247e+01,3.3758422240982820e-02,2.2576653928611449e+01
3.4219330670292140e-02,4.9818359062658875e+00,0.0000000000000000e+00,2.1433709307584941e-03,2.1336765153096692e-03,4.2673530306193385e+01,3.4219330670292140e-02,2.2280431149596552e+01
3.4682715704622315e-02,4.9920920847506389e+00,0.0000000000000000e+00,2.1565989993991034e-03,2.1470223535518277e-03,4.2940447071036552e+01,3.4682715704622315e-02,2.1989072327559370e+01
3.5148559897788749e-02,5.0022680843728615e+00,0.0000000000000000e+00,2.1696256596198723e-03,2.1601629145643628e-03,4.3203258291287256e+01,3.5148559897788749e-02,2.1702425099892935e+01
3.5616845711020854e-02,5.0123642770508727e+00,0.0000000000000000e+00,2.1824497388630440e-03,2.1730971584570128e-03,4.3461943169140255e+01,3.5616845711020854e-02,2.1420342346741563e+01
